Short name;Official name;ISO3;ISO2;UNI;UNDP;FAOSTAT;GAUL
Мьянма ;Республика Союз Мьянма;MMR;MM;104;MMR;28;171
Кабо-Верде ;Республика Кабо-Верде;CPV;CV;132;CPV;35;47
Казахстан ;Республика Казахстан;KAZ;KZ;398;KAZ;108;132
Камбоджа ;Королевство Камбоджа;KHM;KH;116;KHM;115;44
Камерун ;Республика Камерун;CMR;CM;120;CMR;32;45
Канада ;Канада;CAN;CA;124;CAN;33;46
Катар ;Государство Катар;QAT;QA;634;QAT;179;201
Кения ;Республика Кения;KEN;KE;404;KEN;114;133
Кипр ;Республика Кипр;CYP;CY;196;CYP;50;64
Китай ;Китайская Народная Республика;CHN;CN;156;CHN;41;53
Кирибати ;Республика Кирибати;KIR;KI;296;KIR;83;135
Колумбия ;Республика Колумбия;COL;CO;170;COL;44;57
Коморские Острова ;Союз Коморских Островов;COM;KM;174;COM;45;58
Конго ;Республика Конго;COG;CG;178;COG;46;59
Коста-Рика ;Республика Коста-Рика;CRI;CR;188;CRI;48;61
Кот-д'Ивуар ;Республика Кот-д'Ивуар;CIV;CI;384;CIV;107;66
Корейская Народно-Демократическая Республика ;Корейская Народно-Демократическая Республика;PRK;KP;408;PRK;116;67
Куба ;Республика Куба;CUB;CU;192;CUB;49;63
Кувейт ;Государство Кувейт;KWT;KW;414;KWT;118;137
Кыргызстан ;Кыргызская Республика;KGZ;KG;417;KGZ;113;138
Пакистан ;Исламская Республика Пакистан;PAK;PK;586;PAK;165;188
Палау ;Республика Палау;PLW;PW;585;PLW;180;189
Панама ;Республика Панама;PAN;PA;591;PAN;166;191
Папуа-Новая Гвинея ;Независимое государство Папуа-Новая Гвинея;PNG;PG;598;PNG;168;192
Парагвай ;Республика Парагвай;PRY;PY;600;PRY;169;194
Перу ;Республика Перу;PER;PE;604;PER;170;195
Польша ;Республика Польша;POL;PL;616;POL;173;198
Португалия ;Португальская Республика;PRT;PT;620;PRT;174;199
Объединенная Республика Танзания ;Объединенная Республика Танзания;TZA;TZ;834;TZA;215;257
Объединенные Арабские Эмираты ;Объединенные Арабские Эмираты;ARE;AE;784;ARE;225;255
Оман ;Султанат Оман;OMN;OM;512;OMN;221;187
Острова Кука ;Острова Кука;COK;CK;184;COK;47;60
Израиль ;Государство Израиль;ISR;IL;376;ISR;105;121
Индия ;Республика Индия;IND;IN;356;IND;100;115
Индонезия ;Республика Индонезия;IDN;ID;360;IDN;101;116
Иордания ;Иорданское Хашимитское Королевство;JOR;JO;400;JOR;112;130
Исландия ;Республика Исландия;ISL;IS;352;ISL;99;114
Испания ;Королевство Испания;ESP;ES;724;ESP;203;229
Италия ;Итальянская Республика;ITA;IT;380;ITA;106;122
Ирак ;Республика Ирак;IRQ;IQ;368;IRQ;103;118
Иран (Исламская Республика) ;Исламская Республика Иран;IRN;IR;364;IRN;102;117
Ирландия ;Ирландия;IRL;IE;372;IRL;104;119
Замбия ;Республика Замбия;ZMB;ZM;894;ZMB;251;270
Зимбабве ;Республика Зимбабве;ZWE;ZW;716;ZWE;181;271
Багамские Острова ;Содружество Багамских Островов;BHS;BS;44;BHS;12;20
Бангладеш ;Народная Республика Бангладеш;BGD;BD;50;BGD;16;23
Бахрейн ;Королевство Бахрейн;BHR;BH;48;BHR;13;21
Барбадос ;Барбадос;BRB;BB;52;BRB;14;24
Беларусь ;Республика Беларусь;BLR;BY;112;BLR;57;26
Белиз ;Белиз;BLZ;BZ;84;BLZ;23;28
Бельгия ;Королевство Бельгия;BEL;BE;56;BEL;255;27
Бенин ;Республика Бенин;BEN;BJ;204;BEN;53;29
Болгария ;Республика Болгария;BGR;BG;100;BGR;27;41
Боливия (Многонациональное Государство) ;Многонациональное Государство Боливия;BOL;BO;68;BOL;19;33
Босния и Герцеговина ;Босния и Герцеговина;BIH;BA;70;BIH;80;34
Ботсвана ;Республика Ботсвана;BWA;BW;72;BWA;20;35
Бутан ;Королевство Бутан;BTN;BT;64;BTN;18;31
Буркина-Фасо ;Буркина-Фасо;BFA;BF;854;BFA;233;42
Бурунди ;Республика Бурунди;BDI;BI;108;BDI;29;43
Бразилия ;Федеративная Республика Бразилия;BRA;BR;76;BRA;21;37
Бруней-Даруссалам ;Бруней-Даруссалам;BRN;BN;96;BRN;26;40
Вануату ;Республика Вануату;VUT;VU;548;VUT;155;262
Венгрия ;Венгрия;HUN;HU;348;HUN;97;113
Венесуэла (Боливарианская Республика) ;Боливарианская Республика Венесуэла;VEN;VE;862;VEN;236;263
Вьетнам ;Социалистическая Республика Вьетнам;VNM;VN;704;VNM;237;264
Габон ;Габонская Республика;GAB;GA;266;GAB;74;89
Гаити ;Республика Гаити;HTI;HT;332;HTI;93;108
Гайана ;Кооперативная Республика Гайана;GUY;GY;328;GUY;91;107
Гамбия ;Республика Гамбия;GMB;GM;270;GMB;75;90
Гана ;Республика Гана;GHA;GH;288;GHA;81;94
Гватемала ;Республика Гватемала;GTM;GT;320;GTM;89;103
Гвинея ;Гвинейская Республика;GIN;GN;324;GIN;90;106
Гвинея-Бисау ;Республика Гвинея-Бисау;GNB;GW;624;GNB;175;105
Германия ;Федеративная Республика Германия;DEU;DE;276;DEU;79;93
Гондурас ;Республика Гондурас;HND;HN;340;HND;95;111
Гренада ;Гренада;GRD;GD;308;GRD;86;99
Греция ;Греческая Республика;GRC;GR;300;GRC;84;97
Грузия ;Грузия;GEO;GE;268;GEO;73;92
Дания ;Королевство Дания;DNK;DK;208;DNK;54;69
Демократическая Республика Конго ;Демократическая Республика Конго;COD;CD;180;COD;250;68
Джибути ;Республика Джибути;DJI;DJ;262;DJI;72;70
Доминика ;Содружество Доминики;DMA;DM;212;DMA;55;71
Доминиканская Республика ;Доминиканская Республика;DOM;DO;214;DOM;56;72
Египет ;Арабская Республика Египет;EGY;EG;818;EGY;59;40765
Лаосская Народно-Демократическая Республика ;Лаосская Народно-Демократическая Республика;LAO;LA;418;LAO;120;139
Латвия ;Латвийская Республика;LVA;LV;428;LVA;119;140
Лесото ;Королевство Лесото;LSO;LS;426;LSO;122;142
Либерия ;Республика Либерия;LBR;LR;430;LBR;123;144
Ливан ;Ливанская Республика;LBN;LB;422;LBN;121;141
Ливия ;Государство Ливия ;LBY;LY;434;LBY;124;145
Литва ;Литовская Республика;LTU;LT;440;LTU;126;147
Люксембург ;Великое Герцогство Люксембург;LUX;LU;442;LUX;256;148
Йемен ;Йеменская Республика;YEM;YE;887;YEM;249;269
